age,workclass,fnlwgt,education,maritial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30, Private,202450, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States,>50K
40, Private,217120,10th, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,<=50K
23, Private,240398, Bachelors, Never-married, Sales, Not-in-family, Black, Male,0,0,15, United-States,<=50K
47, State-gov,100818, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,>50K
43, Private,191814, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,7688,0,50, United-States,>50K
58, Private,34788, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States,>50K
48, Self-emp-not-inc,191277, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States,>50K
37, Private,167415, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,>50K
52, Private,217663, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,>50K
18, Private,218889,9th, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,<=50K
24, Private,376393, Assoc-voc, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States,<=50K
38, Private,255941, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,10520,0,50, United-States,>50K
56, Private,208431, Some-college, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,32, United-States,<=50K
36, Private,146412, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,<=50K
26, Private,181920, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,45, United-States,>50K
59, Private,100453,7th-8th, Separated, Other-service, Own-child, Black, Female,0,0,38, United-States,<=50K
64, Local-gov,202984, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3137,0,40, United-States,<=50K
41, Private,287037, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States,<=50K
26, Self-emp-not-inc,117125,9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal,<=50K
22, Private,35663, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,<=50K
64, Self-emp-not-inc,73986,7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States,<=50K
37, Self-emp-not-inc,258037, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Cuba,>50K
22, Private,200374, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,35, United-States,<=50K
36, Local-gov,410034, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States,>50K
28, Private,214689, Bachelors, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,25, United-States,<=50K
47, Private,125120, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, United-States,<=50K
40, Private,26892, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,>50K
51, Private,173291, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States,<=50K
39, Private,61178, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States,<=50K
66, Private,234743, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,24, United-States,<=50K
39, Private,201410, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,<=50K
29, Self-emp-not-inc,33798, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,<=50K
44, State-gov,111483, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,>50K
