0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
brickellia eupatorioides var. eupatorioides,al,ar,de,dc,fl,ga,il,in,ky,la,md,ms,mo,nj,nc,oh,pa,sc,tn,tx,va,wv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geum laciniatum,al,ct,de,dc,il,in,ia,ks,ky,me,md,ma,mi,mn,mo,ne,nh,nj,ny,nc,oh,pa,ri,sc,tn,vt,va,wv,wi,nb,ns,on,pe,qc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astragalus lackschewitzii,mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corylus avellana,ny,or,wa,bc,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brunfelsia densifolia,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illecebrum,ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piperia unalascensis,ak,ca,co,id,mi,mt,nv,nm,or,sd,ut,wa,wy,ab,bc,nf,on,qc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lomatium minus,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eriastrum abramsii,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crataegus nitida,ar,il,mo,oh,pa,tn,wi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carex aquatilis var. aquatilis,ak,az,ca,co,ct,dc,id,il,in,ia,ks,me,md,ma,mi,mn,mo,mt,ne,nv,nh,nj,nm,ny,nd,oh,or,pa,sd,ut,vt,va,wa,wi,wy,ab,bc,lb,mb,nb,nf,nt,ns,nu,on,pe,qc,sk,yt,dengl,fraspm,,,,,,,,,,,,,,,,,
rorippa amphibia,ct,me,ma,qc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrophyllum canadense,al,ga,il,in,ia,ky,md,ma,mi,mo,nj,ny,nc,oh,pa,sc,tn,vt,va,wv,wi,on,qc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
